variants,batchSeed,metaPowerMultiplier,permanentMissChance,pickupReactionSeconds,pickupReactionJitterSeconds,pickupActionIntervalSeconds,perkDecisionSeconds,simulationHz,totalWaves,runIndex,gameplaySeed,botSeed,win,timedOut,activeDurationSeconds,estimatedWallDurationSeconds,waveReached,level,perkDecisions,kills,merges,formed3Star,locked3Star,consumes,dropsGenerated,collected,expired,cardsFull,permanentlyMissedDrops,unresolvedDrops,expiredRate,collectedRate,mergesBeforeBoss,mergesPerRegularWave,breatherSeconds,breatherShare,bossReached,bossKilled,bossBreached,bossEntryFormed3Star,bossEntryLocked3Star,bossEntryCollected,bossSpawnFormed3Star,bossSpawnLocked3Star,bossSpawnCollected,preBossKillFormed3Star,preBossKillLocked3Star,preBossKillCollected,bossFightDurationSeconds,bossShare,peakEnemies,peakBullets,peakDrops,peakParticles
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,316,1967941413,3367190486,false,false,754.8333333333042,769.8333333333042,9,6,5,179,17,5,2,3,32,28,4,3,4,0,0.125,0.875,13,1.625,159.73333333332567,0.21161404283506097,1,0,1,3,2,23,5,2,28,0,0,0,0,0,7,8,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,317,715353069,3544027828,false,false,803.1999999999268,821.1999999999268,9,7,6,179,18,6,3,0,27,26,1,0,1,0,0.037037037037037035,0.9629629629629629,14,1.75,159.73333333332567,0.19887118193891962,1,0,1,4,3,21,5,3,24,0,0,0,0,0,6,10,1,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,318,2954484142,3532131966,false,false,788.8999999999398,806.8999999999398,9,7,6,179,23,7,3,5,45,38,7,5,7,0,0.15555555555555556,0.8444444444444444,16,2,159.73333333332567,0.20247602146449215,1,0,1,4,2,29,7,3,35,0,0,0,0,0,8,5,3,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,319,2970060967,599800610,false,false,749.4333333333091,767.4333333333091,9,7,6,179,21,6,3,7,44,38,6,7,6,0,0.13636363636363635,0.8636363636363636,16,2,159.73333333332567,0.21313881599430348,1,0,1,5,3,28,6,3,38,0,0,0,0,0,2,5,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,320,695175611,3020022848,false,false,743.8333333333142,761.8333333333142,9,7,6,179,9,3,3,0,21,15,6,0,6,0,0.2857142857142857,0.7142857142857143,9,1.125,159.73333333332567,0.21474344611247564,1,0,1,3,3,15,3,3,15,0,0,0,0,0,5,13,1,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,321,2153747689,4114101204,false,false,799.2666666665971,817.2666666665971,9,7,6,179,23,7,3,13,48,46,2,13,2,0,0.041666666666666664,0.9583333333333334,21,2.625,159.73333333332567,0.1998498623738505,1,0,1,6,3,41,7,3,45,0,0,0,0,0,8,5,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,322,3202235024,2992260742,false,false,807.3333333332564,825.3333333332564,9,7,6,179,12,3,2,0,25,22,3,0,3,0,0.12,0.88,7,0.875,159.73333333332567,0.1978530140379945,1,0,1,1,0,15,3,2,21,0,0,0,0,0,7,9,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,323,3868035741,3903443096,false,false,744.1666666666472,759.1666666666472,9,6,5,179,21,6,3,8,45,39,6,8,6,0,0.13333333333333333,0.8666666666666667,20,2.5,159.73333333332567,0.2146472564389651,1,0,1,6,3,32,6,3,37,0,0,0,0,0,8,5,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,324,1443860737,2185563175,false,false,792.8333333332696,807.8333333332696,9,6,5,179,23,7,3,14,53,47,6,14,6,0,0.11320754716981132,0.8867924528301887,20,2.5,159.73333333332567,0.2014715156611375,1,0,1,6,3,35,7,3,47,0,0,0,0,0,3,4,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,325,644151449,3205198024,false,false,753.8999999999717,771.8999999999717,9,7,6,179,14,4,2,0,29,22,7,0,7,0,0.2413793103448276,0.7586206896551724,11,1.375,159.73333333332567,0.21187602246097847,1,0,1,3,2,18,4,2,22,0,0,0,0,0,7,11,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,326,2398488040,530378908,false,false,784.6999999999437,802.6999999999437,9,7,6,179,28,8,3,10,58,48,10,10,10,0,0.1724137931034483,0.8275862068965517,25,3.125,159.73333333332567,0.2035597468246937,1,0,1,7,3,41,8,3,48,0,0,0,0,0,3,4,2,0
